variable,workload
N1_P1_e,0.23
N1_P1_m,0.23
N1_P1_h,0.303333333
N1_P2_e,0.233333333
N1_P2_m,0.36
N1_P2_h,0.293333333
N2_P1_e,0.37
N2_P1_m,0.386666667
N2_P1_h,0.41
N2_P2_e,0.393333333
N2_P2_m,0.343333333
N2_P2_h,0.366666667
N3_P1_e,0.236666667
N3_P1_m,0.313333333
N3_P1_h,0.306666667
N3_P2_e,0.266666667
N3_P2_m,0.25
N3_P2_h,0.28
N4_P1_e,0.29
N4_P1_m,0.37
N4_P1_h,0.42
N4_P2_e,0.383333333
N4_P2_m,0.35
N4_P2_h,0.563333333
N5_P1_e,0.34
N5_P1_m,0.303333333
N5_P1_h,0.326666667
N5_P2_e,0.286666667
N5_P2_m,0.356666667
N5_P2_h,0.416666667
N6_P1_e,0.426666667
N6_P1_m,0.266666667
N6_P1_h,0.356666667
N6_P2_e,0.3
N6_P2_m,0.43
N6_P2_h,0.466666667
N7_P1_e,0.44
N7_P1_m,0.51
N7_P1_h,0.493333333
N7_P2_e,0.46
N7_P2_m,0.54
N7_P2_h,0.553333333
N8_P1_e,0.35
N8_P1_m,0.34
N8_P1_h,0.403333333
N8_P2_e,0.346666667
N8_P2_m,0.403333333
N8_P2_h,0.426666667
N9_P1_e,0.316666667
N9_P1_m,0.396666667
N9_P1_h,0.513333333
N9_P2_e,0.41
N9_P2_m,0.42
N9_P2_h,0.326666667
E1_P1_e,0.41
E1_P1_m,0.306666667
E1_P1_h,0.38
E1_P2_e,0.406666667
E1_P2_m,0.37
E1_P2_h,0.286666667
E2_P1_e,0.363333333
E2_P1_m,0.393333333
E2_P1_h,0.336666667
E2_P2_e,0.313333333
E2_P2_m,0.3
E2_P2_h,0.396666667
E3_P1_e,0.296666667
E3_P1_m,0.376666667
E3_P1_h,0.316666667
E3_P2_e,0.26
E3_P2_m,0.26
E3_P2_h,0.363333333
E4_P1_e,0.3
E4_P1_m,0.363333333
E4_P1_h,0.41
E4_P2_e,0.283333333
E4_P2_m,0.3
E4_P2_h,0.333333333
E5_P1_e,0.246666667
E5_P1_m,0.343333333
E5_P1_h,0.373333333
E5_P2_e,0.293333333
E5_P2_m,0.3
E5_P2_h,0.41
E6_P1_e,0.363333333
E6_P1_m,0.343333333
E6_P1_h,0.363333333
E6_P2_e,0.236666667
E6_P2_m,0.316666667
E6_P2_h,0.376666667
E7_P1_e,0.276666667
E7_P1_m,0.386666667
E7_P1_h,0.46
E7_P2_e,0.31
E7_P2_m,0.393333333
E7_P2_h,0.386666667
E8_P1_e,0.396666667
E8_P1_m,0.456666667
E8_P1_h,0.376666667
E8_P2_e,0.45
E8_P2_m,0.356666667
E8_P2_h,0.436666667
E9_P1_e,0.296666667
E9_P1_m,0.333333333
E9_P1_h,0.336666667
E9_P2_e,0.34
E9_P2_m,0.28
E9_P2_h,0.346666667
